trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
이상원 LEE SANG WON,2445301,146175,16937,https://www.youtube.com/watch?v=zkFfkUNCHqA,1,1,2,1.0,1.0,0.9670543746060849,2.967054374606085,0.989018124868695,1
유메키 YUMEKI,1764209,97129,15284,https://www.youtube.com/watch?v=BWpAIk8_uls,3,2,3,0.7203650611110723,0.663605374522459,0.872342863691056,2.2563132993245874,0.7521044331081957,2
허씬롱 HE XIN LONG,1414670,88485,17512,https://www.youtube.com/watch?v=nQwpWw6Riq4,4,5,1,0.5768553489072924,0.604318273787886,1.0,2.1811736226951783,0.7270578742317261,3
,1955648,96859,9066,https://www.youtube.com/watch?v=RuBFU6KCjSc,2,3,6,0.7989638892663838,0.6617535099692041,0.516071735518249,1.976789134753837,0.6589297115846123,4
이리오 LEE LEO,1071049,95027,14163,https://www.youtube.com/watch?v=_WLyTIGuv2Q,5,4,4,0.43577538124366955,0.6491882660374899,0.8081132183578754,1.8930768656390349,0.6310256218796783,5
조우안신 ZHOU AN XIN,884103,63702,9590,https://www.youtube.com/watch?v=NrW9ZzVzP9c,6,6,5,0.35902123747817316,0.4343376840719072,0.5460952271815733,1.3394541487316536,0.4464847162438845,6
정상현 CHUNG SANG HYEON,547323,41628,3834,https://www.youtube.com/watch?v=zFyKU86euJ4,7,7,10,0.22074996910471836,0.28293746870691844,0.2162951928035295,0.7199826306151663,0.23999421020505543,7
장지아하오 ZHANG JIA HAO,388592,32475,5148,https://www.youtube.com/watch?v=n1ibOjvf4n0,9,9,7,0.15558001631599325,0.22015926035157993,0.2915831089211024,0.6673223855886756,0.2224407951962252,8
김준서 KIM JUN SEO,483918,35310,3376,https://www.youtube.com/watch?v=_czc_slWvT0,8,8,13,0.1947178716784493,0.23960383816075556,0.19005328596802842,0.6243749958072333,0.2081249986024111,9
강우진 KANG WOO JIN,303155,29649,4419,https://www.youtube.com/watch?v=Zs7ssp7azqI,15,11,9,0.12050227311264727,0.2007764113608461,0.2498137855955996,0.571092470069093,0.19036415668969767,10
허중싱 HE ZHONG XING,355524,20141,5147,https://www.youtube.com/watch?v=RfTf44Mai8Y,11,16,8,0.1420033362798468,0.1355633440558577,0.29152581218128687,0.5690924925169913,0.18969749750566378,11
최립우 CHUEI LI YU,382008,22372,3565,https://www.youtube.com/watch?v=ay3GFkTcBvk,10,13,11,0.15287683313715,0.15086523227182627,0.20088236979315877,0.5046244352021351,0.16820814506737836,12
