videoId,title,trainee_name,publishedAt,views,likes,comments,url
6eXW3vNlhf8,[BOYS ll PLANET/4회 직캠] 쑨지아양 SUN JIA YANG ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,쑨지아양 SUN JIA YANG,2025-08-04T11:35:29Z,237924,10990,1196,https://www.youtube.com/watch?v=6eXW3vNlhf8
dnRlHl2wKvw,[BOYS ll PLANET/4회 직캠] 방준혁 BANG JUN HYUK ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,방준혁 BANG JUN HYUK,2025-08-04T11:35:07Z,48631,3142,471,https://www.youtube.com/watch?v=dnRlHl2wKvw
hfer1acos3Q,[BOYS ll PLANET/4회 직캠] 유메키 YUMEKI ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,유메키 YUMEKI,2025-08-04T11:34:48Z,1009087,53731,7203,https://www.youtube.com/watch?v=hfer1acos3Q
M7pLgwtPh6s,[BOYS ll PLANET/4회 직캠] 판저이 FAN ZHE YI ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,판저이 FAN ZHE YI,2025-08-04T11:35:12Z,89700,6817,818,https://www.youtube.com/watch?v=M7pLgwtPh6s
IjMO54OGEW4,[BOYS ll PLANET/4회 직캠] 조우안신 ZHOU AN XIN ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,조우안신 ZHOU AN XIN,2025-08-04T11:34:51Z,690069,51000,6997,https://www.youtube.com/watch?v=IjMO54OGEW4
um-CwDseeTo,[BOYS ll PLANET/4회 직캠] 렌쇼 RENSHO ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,렌쇼 RENSHO,2025-08-04T11:35:27Z,63795,2764,286,https://www.youtube.com/watch?v=um-CwDseeTo
fIk2XvR2w2M,[BOYS ll PLANET/4회 직캠] 김건우 KIM GEON WOO ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,김건우 KIM GEON WOO,2025-08-04T11:34:33Z,408176,22406,6018,https://www.youtube.com/watch?v=fIk2XvR2w2M
qDR46tsekT8,[BOYS ll PLANET/4회 직캠] 이승백 LEE SEUNG BAEK ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,이승백 LEE SEUNG BAEK,2025-08-04T11:35:21Z,18822,664,112,https://www.youtube.com/watch?v=qDR46tsekT8
4m1rcjdjns0,[BOYS ll PLANET/4회 직캠] 쉬칭위 HSU CHING YU ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,쉬칭위 HSU CHING YU,2025-08-04T11:34:29Z,233231,20617,1949,https://www.youtube.com/watch?v=4m1rcjdjns0
fBFMcTu62Ro,[BOYS ll PLANET/4회 직캠] 김다니엘 KIM DANIEL ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,김다니엘 KIM DANIEL,2025-08-04T11:35:16Z,55647,2481,402,https://www.youtube.com/watch?v=fBFMcTu62Ro
f5KG8b8PeRU,[BOYS ll PLANET/4회 직캠] 김재현 KIM JAE HYUN ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,김재현 KIM JAE HYUN,2025-08-04T11:35:18Z,98458,6279,669,https://www.youtube.com/watch?v=f5KG8b8PeRU
zkFfkUNCHqA,[BOYS ll PLANET/4회 직캠] 이상원 LEE SANG WON ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,이상원 LEE SANG WON,2025-08-04T11:34:42Z,2029347,135279,16034,https://www.youtube.com/watch?v=zkFfkUNCHqA
skHA4edV7tA,[BOYS ll PLANET/4회 직캠] 펑진위 PENG JIN YU ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,펑진위 PENG JIN YU,2025-08-04T11:35:24Z,63466,4095,894,https://www.youtube.com/watch?v=skHA4edV7tA
_czc_slWvT0,[BOYS ll PLANET/4회 직캠] 김준서 KIM JUN SEO ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,김준서 KIM JUN SEO,2025-08-04T11:34:37Z,382642,32194,3176,https://www.youtube.com/watch?v=_czc_slWvT0
