trainee_name,views,likes,comments,url,views_rank,likes_rank,comments_rank,views_norm,likes_norm,comments_norm,score,score_norm,overall_rank
이상원 LEE SANG WON,2046436,135796,16090,https://www.youtube.com/watch?v=zkFfkUNCHqA,1,1,1,1.0,1.0,1.0,3.0,1.0,1
허씬롱 HE XIN LONG,777664,55438,9809,https://www.youtube.com/watch?v=z5wuHjWSaYE,3,3,2,0.3780965353899212,0.40699141754422213,0.6085384855095045,1.3936264384436479,0.46454214614788264,2
이리오 LEE LEO,725962,66434,8913,https://www.youtube.com/watch?v=xuy7aELIndk,4,2,3,0.3527541941912895,0.4881373192924455,0.55269554378311,1.3935870572668452,0.4645290190889484,3
유메키 YUMEKI,1017517,53909,7256,https://www.youtube.com/watch?v=hfer1acos3Q,2,4,4,0.4956632941906523,0.3957080341527131,0.44942349641632906,1.3407948247596946,0.4469316082532315,4
조우안신 ZHOU AN XIN,695029,51145,7043,https://www.youtube.com/watch?v=IjMO54OGEW4,5,5,5,0.3375920217357313,0.3753108649609989,0.43614833281396076,1.149051219510691,0.3830170731702303,5
김건우 KIM GEON WOO,411884,22531,6051,https://www.youtube.com/watch?v=fIk2XvR2w2M,6,9,6,0.19880518179362916,0.16415145857470723,0.37432221875973826,0.7372788591280747,0.24575961970935822,6
김준서 KIM JUN SEO,386211,32328,3191,https://www.youtube.com/watch?v=_czc_slWvT0,7,6,9,0.1862212599803053,0.2364492395339055,0.1960735431598629,0.6187440426740737,0.20624801422469122,7
정상현 CHUNG SANG HYEON,384929,31634,2745,https://www.youtube.com/watch?v=Y5DEtLE1AFE,8,7,11,0.18559287265647556,0.23132780848504528,0.16827672172016203,0.5851974028616829,0.19506580095389428,8
강우진 KANG WOO JIN,255775,27846,4186,https://www.youtube.com/watch?v=Zs7ssp7azqI,11,8,7,0.12228652599352104,0.20337394564198688,0.25808663134933,0.583747102984838,0.19458236766161266,9
최립우 CHUEI LI YU,341920,21374,3291,https://www.youtube.com/watch?v=ay3GFkTcBvk,9,10,8,0.1645115072815974,0.15561328029872554,0.2023060143346837,0.5224308019150066,0.17414360063833553,10
쑨헝위 SUN HENG YU,276955,19434,2503,https://www.youtube.com/watch?v=-ykCaAX8pwM,10,12,12,0.13266815120312644,0.14129688802957738,0.15319414147709567,0.4271591807097995,0.14238639356993318,11
쉬칭위 HSU CHING YU,235148,20685,1957,https://www.youtube.com/watch?v=4m1rcjdjns0,13,11,14,0.11217596021455359,0.1505287471680848,0.11916484886257402,0.3818695562452124,0.12728985208173746,12
허중싱 HE ZHONG XING,221170,12261,2748,https://www.youtube.com/watch?v=9jJq-39La2E,15,19,10,0.10532447970558927,0.08836313455194858,0.16846369585540666,0.3621513101129445,0.1207171033709815,13
마사토 MASATO,230444,16183,1602,https://www.youtube.com/watch?v=rCvkb23P0ws,14,13,16,0.10987023948811431,0.11730586160328835,0.09703957619196012,0.32421567728336276,0.10807189242778759,14
유강민 YOO KANG MIN,205033,15710,1495,https://www.youtube.com/watch?v=bQ27CInAK7I,16,14,21,0.0974147400451831,0.11381531853972798,0.09037083203490184,0.30160089061981293,0.10053363020660432,15
장한음 JANG HAN EUM,186503,13589,1827,https://www.youtube.com/watch?v=rlrM1_TEaCY,17,15,15,0.08833204339107602,0.09816322163103558,0.11106263633530696,0.29755790135741855,0.09918596711913952,16
박준일 PARK JUN IL,147836,13300,1993,https://www.youtube.com/watch?v=NxlXMdwO_Fg,18,16,13,0.0693789602003389,0.09603052195795113,0.1214085384855095,0.2868180206437996,0.09560600688126653,17
쑨지아양 SUN JIA YANG,239091,11016,1198,https://www.youtube.com/watch?v=6eXW3vNlhf8,12,22,26,0.11410866787279127,0.07917555291530452,0.07186039264568402,0.2651446134337798,0.08838153781125994,18
김준민 KIM JUN MIN,108635,12330,1529,https://www.youtube.com/watch?v=05sK6HW1ZbI,23,18,19,0.05016413065162589,0.08887232582337705,0.09248987223434092,0.23152632870934386,0.07717544290311462,19
니안보행 NIAN BO HENG,99807,11703,1602,https://www.youtube.com/watch?v=lt2OZB1rFYE,24,20,16,0.0458369829957998,0.0842453268786575,0.09703957619196012,0.22712188606641742,0.07570729535547248,20
나윤서 NA YUN SEO,126668,12794,1031,https://www.youtube.com/watch?v=3PvailAbrjs,20,17,29,0.059003216931362165,0.09229645263414238,0.06145216578373325,0.2127518353492378,0.07091727844974594,21
앤드류 ANDREW,80681,11469,1520,https://www.youtube.com/watch?v=IRu5Ikd_LnI,31,21,20,0.036462149957135356,0.08251850430598706,0.09192894982860704,0.21090960409172946,0.07030320136390981,22
전이정 JUN LEE JEONG,112714,9389,1412,https://www.youtube.com/watch?v=SWYbv9GY6Ts,22,27,22,0.052163500303655186,0.06716897032669417,0.08519788095980056,0.20453035159014993,0.06817678386338331,23
장지아하오 ZHANG JIA HAO,87050,9160,1563,https://www.youtube.com/watch?v=spdXKRl_zH0,29,28,18,0.03958398994580282,0.06547904567224318,0.09460891243377999,0.19967194805182598,0.06655731601727533,24
이첸 YI CHEN,88672,10508,1308,https://www.youtube.com/watch?v=itg-3PBv1HE,28,23,24,0.0403790322541116,0.07542672442420799,0.07871611093798692,0.19452186761630652,0.06484062253876884,25
센 SEN,121775,9406,1037,https://www.youtube.com/watch?v=vy3Jq0iq178,21,26,28,0.05660485564002131,0.06729442324864031,0.061826114054222496,0.18572539294288412,0.061908464314294705,26
당홍하이 DANG HONG HAI,85700,9793,1238,https://www.youtube.com/watch?v=5cX0rCXrxDQ,30,25,25,0.03892227162507726,0.07015032211882606,0.07435338111561234,0.18342597485951567,0.061141991619838555,27
천카이원 CHEN KAI WEN,77981,8565,1334,https://www.youtube.com/watch?v=zWAHdUUfb8E,33,29,23,0.035138713315684245,0.06108819340412814,0.08033655344344032,0.1765634601632527,0.05885448672108423,28
판저이 FAN ZHE YI,90022,6839,822,https://www.youtube.com/watch?v=M7pLgwtPh6s,27,32,33,0.04104075057483716,0.0483510320347726,0.048426301028357745,0.1378180836379675,0.04593936121265583,29
한해리준 HAN HARRY JUNE,77834,6916,901,https://www.youtube.com/watch?v=Csmftq5Q_ic,34,31,30,0.03506665954298302,0.04891925997535219,0.05334995325646619,0.1373358727748014,0.04577862425826713,30
김재현 KIM JAE HYUN,99160,6295,672,https://www.youtube.com/watch?v=f5KG8b8PeRU,25,33,38,0.04551984836357059,0.044336538532495993,0.03907759426612652,0.12893398116219312,0.04297799372073104,31
박동규 PARK DONG GYU,40565,5285,1178,https://www.youtube.com/watch?v=hgh2YBy7DLc,52,36,27,0.01679882243548614,0.03688315905216628,0.07061389841071986,0.12429587989837228,0.041431959966124095,32
크리센 양 CHRISEN YANG,75583,8253,471,https://www.youtube.com/watch?v=JYpMUV2mfdY,35,30,54,0.03396330551338803,0.05878576330723421,0.026550327204736678,0.11929939602535891,0.0397664653417863,33
유센 YUSEN,128052,2783,565,https://www.youtube.com/watch?v=bSVIiG69Fk8,19,56,45,0.05968160075053562,0.018419440775151466,0.032408850109068243,0.11050989163475533,0.036836630544918446,34
펑진위 PENG JIN YU,64095,4125,895,https://www.youtube.com/watch?v=skHA4edV7tA,39,45,31,0.02833232768487307,0.028322842025252936,0.05297600498597694,0.10963117469610295,0.03654372489870098,35
리즈하오 LI ZI HAO,78741,5114,645,https://www.youtube.com/watch?v=O_4hSdW0qFM,32,37,42,0.03551123622216678,0.035621250249060946,0.0373948270489249,0.10852731352015262,0.036175771173384205,36
윤민 YOON MIN,70463,5413,658,https://www.youtube.com/watch?v=pct7yVcld58,36,35,40,0.03145367751182147,0.0378277457585843,0.038205048301651605,0.10748647157205737,0.035828823857352456,37
장태윤 JANG TAE YOON,47376,10447,212,https://www.youtube.com/watch?v=3fnrwds7h7c,45,24,66,0.02013731390397634,0.07497656982193064,0.010408226861950764,0.10552211058785775,0.03517403686261925,38
후한원 HU HAN WEN,58425,4394,785,https://www.youtube.com/watch?v=LQK3bGgZAHY,40,43,34,0.02555311073782573,0.030307950025459565,0.046120286693674045,0.10198134745695935,0.033993782485653115,39
타츠키 TATSUKI,65524,4762,665,https://www.youtube.com/watch?v=hIKzL5XwAOE,37,38,39,0.02903276878140405,0.033023636806411384,0.038641321283889064,0.1006977268717045,0.03356590895723483,40
정현준 JUNG HYUN JUN,57035,3859,832,https://www.youtube.com/watch?v=VTrO27Wexkg,41,46,32,0.024871785948337936,0.02635987277597798,0.049049548145839825,0.10028120687015574,0.03342706895671858,41
송민재 SONG MIN JAE,51323,4523,714,https://www.youtube.com/watch?v=K3tf3kgqdsE,43,41,36,0.022071982209090246,0.031259916315521476,0.04169523215955126,0.09502713068416298,0.03167571022805433,42
서원 SEO WON,46041,5480,530,https://www.youtube.com/watch?v=yUqrY3VOkHU,49,34,48,0.019482948009036622,0.03832217786272499,0.03022748519788096,0.08803261106964257,0.029344203689880857,43
쇼우 SHO,90640,858,651,https://www.youtube.com/watch?v=y82VBsbL0Ic,26,69,41,0.04134367051721374,0.004213742260661653,0.037768775319414145,0.08332618809728953,0.027775396032429844,44
쉬에수런 XUE SU REN,47010,4396,574,https://www.youtube.com/watch?v=ghTXekcRfYo,46,42,44,0.019957914714801853,0.030322709192747346,0.03296977251480212,0.08325039642235132,0.027750132140783774,45
문원준 MUHN WON JUN,41247,3469,721,https://www.youtube.com/watch?v=BBrq5n9MMpw,51,48,35,0.01713311272788231,0.02348183515486056,0.04213150514178872,0.0827464530245316,0.027582151008177198,46
자오광쉬 ZHAO GUANG XU,38641,4560,590,https://www.youtube.com/watch?v=IhUwCcEznyI,57,40,43,0.015855751288022458,0.03153296091034544,0.03396696790277345,0.08135568010114133,0.027118560033713778,47
천보원 CHEN BO WEN,40166,4612,560,https://www.youtube.com/watch?v=vc9KKpiK2H4,53,39,46,0.01660324790958281,0.03191669925982776,0.03209722655032721,0.08061717371973778,0.026872391239912596,48
염예찬 YEOM YE CHAN,46237,4210,478,https://www.youtube.com/watch?v=HDMtYviT8rU,47,44,52,0.01957901970597159,0.028950106634983656,0.026986600186974134,0.07551572652792937,0.025171908842643125,49
