Rank,Trainee
1,이상원 LEE SANG WON
2,유메키 YUMEKI
3,이리오 LEE LEO
4,허씬롱 HE XIN LONG
5,
6,조우안신 ZHOU AN XIN
7,정상현 CHUNG SANG HYEON
8,김준서 KIM JUN SEO
9,강우진 KANG WOO JIN
10,장지아하오 ZHANG JIA HAO
11,최립우 CHUEI LI YU
12,쉬칭위 HSU CHING YU
13,박동규 PARK DONG GYU
14,쑨헝위 SUN HENG YU
15,허중싱 HE ZHONG XING
16,마사토 MASATO
17,장한음 JANG HAN EUM
18,앤드류 ANDREW
19,김건우 KIM GEON WOO
20,당홍하이 DANG HONG HAI
21,쉬에수런 XUE SU REN
22,한해리준 HAN HARRY JUNE
23,센 SEN
24,나윤서 NA YUN SEO
25,김시환 KIM SI HWAN
26,박준일 PARK JUN IL
27,문원준 MUHN WON JUN
28,유강민 YOO KANG MIN
29,김태조 KIM TAE JO
30,김인후 KIM IN HU
31,전이정 JUN LEE JEONG
32,이동헌 LEE DONG HEON
33,조계현 JO GYE HYEON
34,염예찬 YEOM YE CHAN
35,타츠키 TATSUKI
36,서원 SEO WON
37,아오시 AOSHI
38,쑨지아양 SUN JIA YANG
39,궈쩐 GUO ZHEN
40,홍쯔하오 HONG ZIH HAO
41,이승백 LEE SEUNG BAEK
42,커밍지에 KO MING CHIEH
